v8-version,14,6,202,33,-node.19,0
v8-platform,macos,macos
new,MemoryChunk,0x72293d80000,262144
new,MemoryChunk,0xe460f4c0000,262144
new,MemoryChunk,0x12411e340000,262144
new,MemoryChunk,0xd1669540000,262144
new,MemoryChunk,0x3114e8dc0000,262144
new,MemoryChunk,0x11dba7400000,262144
new,MemoryChunk,0xed37f2c0000,262144
new,MemoryChunk,0x1dac7bb40000,262144
new,MemoryChunk,0x3bf77edc0000,262144
new,MemoryChunk,0x2befdf380000,262144
new,MemoryChunk,0x3fcf83b40000,262144
new,MemoryChunk,0x3b4d003c0000,262144
new,MemoryChunk,0x146640000,557056
new,MemoryChunk,0xf09be9c0000,147456
new,MemoryChunk,0x316dc0800000,262144
new,MemoryChunk,0x245a32f40000,262144
new,MemoryChunk,0x2ab6c480000,262144
new,MemoryChunk,0x1bfa5d3c0000,262144
new,MemoryChunk,0x3fe672240000,262144
new,MemoryChunk,0x10656b880000,262144
new,MemoryChunk,0x20f5630c0000,262144
new,MemoryChunk,0x1e1258c0000,262144
new,MemoryChunk,0x30626ee00000,262144
new,MemoryChunk,0x2b5f84a80000,262144
code-deopt,402897,6336,0x126700040,-1,20991,deopt-eager,<node:internal/modules/cjs/loader:720:62>,Insufficient type feedback for compare operation
new,MemoryChunk,0x1695aa900000,262144
new,MemoryChunk,0xfbc480c0000,262144
new,MemoryChunk,0x207ae1fc0000,262144
new,MemoryChunk,0x3c44fec00000,262144
new,MemoryChunk,0x146a0ad80000,262144
new,MemoryChunk,0x1a1945200000,262144
new,MemoryChunk,0xe67288c0000,262144
new,MemoryChunk,0x1050f380000,262144
new,MemoryChunk,0x3d8518600000,262144
new,MemoryChunk,0x58a9eb80000,262144
new,MemoryChunk,0x589ada00000,262144
new,MemoryChunk,0x267d71840000,262144
new,MemoryChunk,0x3620a71c0000,262144
new,MemoryChunk,0x200f62740000,212992
new,MemoryChunk,0x1137dfc40000,212992
new,MemoryChunk,0x126740000,376832
new,MemoryChunk,0x36a435340000,262144
new,MemoryChunk,0x7078f740000,262144
new,MemoryChunk,0x1267c0000,262144
new,MemoryChunk,0xfecf5500000,262144
new,MemoryChunk,0x1ee3aa700000,262144
new,MemoryChunk,0x126800000,262144
new,MemoryChunk,0x126840000,376832
new,MemoryChunk,0x2967c3900000,262144
new,MemoryChunk,0x1452bc700000,262144
new,MemoryChunk,0x302326d80000,262144
new,MemoryChunk,0x25e27f680000,262144
code-deopt,430670,3616,0x1267ddd60,-1,1726,dependency-change,</Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/ajv/dist/compile/codegen/code.js:55:11>,dependent prototype chain changed
code-deopt,430683,1184,0x126800f20,-1,2285,dependency-change,</Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/ajv/dist/compile/codegen/code.js:78:20>,dependent prototype chain changed
new,MemoryChunk,0x1b3cfd080000,262144
new,MemoryChunk,0x306fe47c0000,262144
new,MemoryChunk,0x285752100000,262144
new,MemoryChunk,0x16bdcc40000,262144
new,MemoryChunk,0x214e27a40000,262144
new,MemoryChunk,0x2e3348480000,262144
new,MemoryChunk,0x3c2356280000,262144
new,MemoryChunk,0x17091c400000,262144
new,MemoryChunk,0x398e02440000,262144
new,MemoryChunk,0x150d5ee80000,262144
new,MemoryChunk,0x87ae1ec0000,262144
new,MemoryChunk,0x399b6b600000,262144
new,MemoryChunk,0x1a023c980000,262144
new,MemoryChunk,0x6f3b8b00000,262144
new,MemoryChunk,0x2069a65c0000,262144
new,MemoryChunk,0x2d00a9540000,262144
new,MemoryChunk,0x93741500000,262144
new,MemoryChunk,0x3f511be80000,262144
new,MemoryChunk,0x17451b6c0000,262144
new,MemoryChunk,0x1994cc780000,262144
new,MemoryChunk,0xf8dae700000,262144
new,MemoryChunk,0x1a068a9c0000,262144
new,MemoryChunk,0x32fbb4780000,262144
new,MemoryChunk,0x1515ff580000,262144
new,MemoryChunk,0x2e4335f80000,262144
new,MemoryChunk,0xb0130000000,262144
new,MemoryChunk,0x2489bbf80000,262144
code-deopt,449096,1856,0x12673bf80,-1,408,deopt-eager,</Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/@microsoft/api-extractor/lib-commonjs/api/Extractor.js:7:56>,Insufficient type feedback for generic named access
new,MemoryChunk,0x1ff902540000,262144
new,MemoryChunk,0x1b3a8dd00000,262144
new,MemoryChunk,0x37c1cbac0000,262144
new,MemoryChunk,0xb864e400000,262144
code-deopt,450246,1504,0x12673e240,-1,1457,deopt-eager,</Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/@microsoft/api-extractor/lib-commonjs/collector/Collector.js:33:9>,Insufficient type feedback for call
new,MemoryChunk,0x1f2e8ac40000,262144
new,MemoryChunk,0x216a356c0000,262144
new,MemoryChunk,0x2a89959c0000,262144
new,MemoryChunk,0x134921d80000,262144
new,MemoryChunk,0x3203cbf40000,262144
new,MemoryChunk,0x2997f4580000,262144
new,MemoryChunk,0x2b79cb3c0000,262144
code-deopt,452402,1504,0x1267e2a00,-1,1457,deopt-eager,</Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/@microsoft/api-extractor/lib-commonjs/collector/CollectorEntity.js:33:9>,Insufficient type feedback for call
new,MemoryChunk,0x22c227840000,262144
new,MemoryChunk,0x395b57a80000,262144
new,MemoryChunk,0x134ecf300000,262144
new,MemoryChunk,0x28544ae40000,262144
new,MemoryChunk,0x17939ccc0000,262144
code-deopt,453622,1504,0x1267e3cc0,-1,1457,deopt-eager,</Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/@microsoft/api-extractor/lib-commonjs/analyzer/AstSymbolTable.js:33:9>,Insufficient type feedback for call
new,MemoryChunk,0x186132980000,262144
new,MemoryChunk,0x948e6a80000,262144
new,MemoryChunk,0x10be0e9c0000,262144
new,MemoryChunk,0x24282b00000,262144
code-deopt,454329,1504,0x1267e4f80,-1,1457,deopt-eager,</Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/@microsoft/api-extractor/lib-commonjs/analyzer/AstDeclaration.js:33:9>,Insufficient type feedback for call
new,MemoryChunk,0xf5a4a300000,262144
new,MemoryChunk,0xd0600480000,262144
new,MemoryChunk,0x1d52da5c0000,262144
new,MemoryChunk,0x17c4690c0000,262144
code-deopt,455288,1504,0x1267e6240,-1,1457,deopt-eager,</Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/@microsoft/api-extractor/lib-commonjs/analyzer/Span.js:33:9>,Insufficient type feedback for call
new,MemoryChunk,0x26e0f7a80000,262144
new,MemoryChunk,0x187010c00000,262144
new,MemoryChunk,0x21fff5ac0000,262144
new,MemoryChunk,0x4f9ea180000,262144
new,MemoryChunk,0x33bdd2f80000,262144
new,MemoryChunk,0x1dfd3d3c0000,262144
new,MemoryChunk,0x3a8bfe2c0000,262144
new,MemoryChunk,0x6f9a6f00000,262144
new,MemoryChunk,0x2c2592d40000,262144
new,MemoryChunk,0x32d8c56c0000,262144
new,MemoryChunk,0x35b362700000,262144
new,MemoryChunk,0x13819f480000,262144
new,MemoryChunk,0xcee810c0000,262144
new,MemoryChunk,0x23180ed80000,262144
new,MemoryChunk,0x314f105c0000,262144
new,MemoryChunk,0x161b8de80000,262144
new,MemoryChunk,0x1bcf98780000,262144
new,MemoryChunk,0x350a5c740000,262144
new,MemoryChunk,0xdb9294c0000,262144
code-deopt,458035,1504,0x1267e6e20,-1,1457,deopt-eager,</Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/@microsoft/api-extractor/lib-commonjs/analyzer/TypeScriptHelpers.js:33:9>,Insufficient type feedback for call
code-deopt,459220,1504,0x1267e87c0,-1,1457,deopt-eager,</Users/mkbabb/Programming/parse-that-css-totality/typescript/node_modules/@microsoft/api-extractor/lib-commonjs/analyzer/TypeScriptInternals.js:33:9>,Insufficient type feedback for call
